City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
81,Taunggyi,MM,73.26,overcast clouds,20.7833,97.0333,True Treasure Hotel
82,Ibotirama,BR,66.96,clear sky,-12.1853,-43.2206,Serra do Rio Hotel
83,Albany,US,72.7,scattered clouds,42.6526,-73.7562,Hilton Albany
85,Georgetown,GY,77.29,few clouds,6.8045,-58.1553,Kanhai's Center
86,Bluff,NZ,43.81,clear sky,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
87,Axim,GH,75.33,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
89,Hasaki,JP,90.0,clear sky,35.7333,140.8333,Inubosaki Kanko Hotel
90,Honiara,SB,81.63,scattered clouds,-9.4333,159.95,Heritage Park Hotel
91,Ende,ID,80.13,few clouds,-8.8432,121.6623,Dwi Putra Hotel - Ende
92,Sebinkarahisar,TR,60.15,clear sky,40.2883,38.4236,Sebinkarahisar Ogretmenevi
93,Bengkulu,ID,85.33,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
94,Hami,CN,101.1,clear sky,42.8,93.45,Laoyutang Resort
95,Laguna,US,79.32,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
96,Shimoda,JP,90.1,clear sky,34.6667,138.95,Shimoda Tokyu Hotel
97,Longyearbyen,SJ,49.84,broken clouds,78.2186,15.6401,"Radisson Blu Polar Hotel, Spitsbergen"
98,East London,ZA,58.14,clear sky,-33.0153,27.9116,Tu Casa
99,Port-Cartier,CA,56.88,scattered clouds,50.0334,-66.8654,Le Q'Artier
100,Port Hardy,CA,57.38,scattered clouds,50.6996,-127.4199,Airport Inn-Port Hardy
101,Mahdalynivka,UA,68.97,clear sky,48.921,34.9156,"Кафе-Готель ""Колыба"""
102,Hermanus,ZA,51.8,light rain,-34.4187,19.2345,Misty Waves Boutique Hotel
103,Rumonge,BI,76.51,scattered clouds,-3.9736,29.4386,Kwetu Guest House
104,Qaanaaq,GL,36.16,light rain,77.484,-69.3632,Qaanaaq Hotel
105,Anastacio,BR,67.96,overcast clouds,-20.4836,-55.8069,HOTEL ARARAS
106,Namwala,ZM,59.22,clear sky,-15.7504,26.4384,Corner Point Lodge
107,Brigantine,US,82.0,overcast clouds,39.4101,-74.3646,Legacy Vacation Resorts - Brigantine Beach
108,Andapa,MG,64.8,broken clouds,-14.65,49.65,Ramanandraibe Andapa
109,Santa Maria,BR,63.0,heavy intensity rain,-29.6842,-53.8069,Hotel Morotin
110,Ilulissat,GL,41.31,light rain,69.2167,-51.1,Hotel Arctic
112,Meulaboh,ID,87.48,broken clouds,4.1363,96.1285,Kost Pria
113,Saint George,US,98.26,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
115,Sioux Lookout,CA,57.27,clear sky,50.1001,-91.917,Knobby's Fly-In Camps
116,Gaziantep,TR,80.53,clear sky,37.0594,37.3825,Novotel Gaziantep
117,Kang,BW,57.09,scattered clouds,-23.6752,22.7876,Kang Ultra Stop
118,Isla Vista,US,78.35,clear sky,34.4133,-119.861,Best Western Plus South Coast Inn
119,Lebu,CL,53.24,overcast clouds,-37.6167,-73.65,Hostal Las Lilas
120,Haysville,US,83.26,clear sky,37.5645,-97.3523,HAYSVILLE EXPRESS INN
121,Mae Sot,TH,85.95,few clouds,16.7167,98.5667,Suan Darb Porn Resort (บ้านสวนดาบพรรีสอร์ท)
123,Kavieng,PG,84.25,few clouds,-2.5744,150.7967,Nusa Island Retreat
124,Whitehorse,CA,52.57,broken clouds,60.7161,-135.0538,The Sternwheeler Hotel & Conference Centre
125,Siuna,NI,71.55,overcast clouds,13.7332,-84.7773,hotel los chinitos
126,Tuktoyaktuk,CA,64.4,broken clouds,69.4541,-133.0374,End of The Road Ltd.
127,Sao Filipe,CV,74.8,broken clouds,14.8961,-24.4956,Hotel Xaguate
128,Malumfashi,NG,71.04,overcast clouds,11.7853,7.6218,INFINITY CYBER CAFE MALUMFASHI
131,Lompoc,US,58.93,overcast clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
132,Mandalgovi,MN,78.19,overcast clouds,45.7625,106.2708,В.Ганбат
133,Helong,CN,74.98,overcast clouds,42.5397,128.9972,Helong Hotel
134,Abha,SA,71.42,clear sky,18.2164,42.5053,Abha Hotel
135,Faanui,PF,79.03,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
136,Karasjok,NO,54.46,overcast clouds,69.4719,25.5112,Karasjok camping AS
137,Alekseyevka,RU,65.57,overcast clouds,50.6309,38.6903,Apartment on Ploshchad Pobedy
138,Talnakh,RU,79.21,clear sky,69.4865,88.3972,Talnakh Hotel
