City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Saint-Philippe,RE,-21.3585,55.7679,74.21,86,51,14.34,light rain
79,Hilo,US,19.7297,-155.09,76.73,88,75,3.44,broken clouds
80,Mar Del Plata,AR,-38.0023,-57.5575,51.1,88,0,20.0,light rain
81,Taunggyi,MM,20.7833,97.0333,73.26,78,100,4.29,overcast clouds
82,Ibotirama,BR,-12.1853,-43.2206,66.96,65,6,2.04,clear sky
83,Albany,US,42.6526,-73.7562,72.7,90,37,2.39,scattered clouds
84,Baherden,TM,38.4362,57.4316,94.53,35,3,6.22,clear sky
85,Georgetown,GY,6.8045,-58.1553,77.29,90,19,5.97,few clouds
86,Bluff,NZ,-46.6,168.3333,43.81,75,5,5.01,clear sky
87,Axim,GH,4.8699,-2.2405,75.33,72,85,5.46,overcast clouds
88,Tadine,NC,-21.55,167.8833,74.71,88,100,14.67,overcast clouds
89,Hasaki,JP,35.7333,140.8333,90.0,74,0,20.83,clear sky
90,Honiara,SB,-9.4333,159.95,81.63,77,46,0.65,scattered clouds
91,Ende,ID,-8.8432,121.6623,80.13,67,22,6.58,few clouds
92,Sebinkarahisar,TR,40.2883,38.4236,60.15,47,0,2.51,clear sky
93,Bengkulu,ID,-3.8004,102.2655,85.33,66,42,9.46,scattered clouds
94,Hami,CN,42.8,93.45,101.1,10,1,11.3,clear sky
95,Laguna,US,38.421,-121.4238,79.32,30,0,10.36,clear sky
96,Shimoda,JP,34.6667,138.95,90.1,69,0,15.43,clear sky
97,Longyearbyen,SJ,78.2186,15.6401,49.84,76,75,5.75,broken clouds
98,East London,ZA,-33.0153,27.9116,58.14,77,0,9.22,clear sky
99,Port-Cartier,CA,50.0334,-66.8654,56.88,84,27,2.84,scattered clouds
100,Port Hardy,CA,50.6996,-127.4199,57.38,82,40,4.61,scattered clouds
101,Mahdalynivka,UA,48.921,34.9156,68.97,61,3,12.28,clear sky
102,Hermanus,ZA,-34.4187,19.2345,51.8,72,65,15.1,light rain
103,Rumonge,BI,-3.9736,29.4386,76.51,47,27,2.39,scattered clouds
104,Qaanaaq,GL,77.484,-69.3632,36.16,99,100,13.0,light rain
105,Anastacio,BR,-20.4836,-55.8069,67.96,50,88,0.47,overcast clouds
106,Namwala,ZM,-15.7504,26.4384,59.22,61,1,7.38,clear sky
107,Brigantine,US,39.4101,-74.3646,82.0,83,100,10.78,overcast clouds
108,Andapa,MG,-14.65,49.65,64.8,83,74,1.14,broken clouds
109,Santa Maria,BR,-29.6842,-53.8069,63.0,96,88,2.59,heavy intensity rain
110,Ilulissat,GL,69.2167,-51.1,41.31,97,100,4.29,light rain
111,Micheweni,TZ,-4.9667,39.8333,75.36,77,96,11.68,light rain
112,Meulaboh,ID,4.1363,96.1285,87.48,64,83,10.58,broken clouds
113,Saint George,US,37.1041,-113.5841,98.26,22,0,3.44,clear sky
114,Beringovskiy,RU,63.05,179.3167,45.9,81,100,10.45,overcast clouds
115,Sioux Lookout,CA,50.1001,-91.917,57.27,88,0,2.3,clear sky
